Date,Open,High,Low,Close,Volume,Change
2009-01-02,31800,32150,30000,30000,277566,-0.05660377358490565
2009-01-05,30350,30900,29700,29900,165820,-0.0033333333333332993
2009-01-06,30100,31150,29950,30750,204631,0.028428093645485042
2009-01-07,31150,32450,30800,32450,249212,0.055284552845528356
2009-01-08,31750,32250,31350,31850,179786,-0.018489984591679498
2009-01-09,32400,33100,31000,31600,290931,-0.00784929356357933
2009-01-12,31100,31300,29600,29900,160131,-0.05379746835443033
2009-01-13,29500,29900,29100,29900,145652,0.0
2009-01-14,29750,30950,29500,30950,122694,0.03511705685618738
2009-01-15,29700,29900,28500,28500,139506,-0.07915993537964461
2009-01-16,28900,29700,28550,29700,110995,0.042105263157894646
2009-01-19,30000,30850,29550,30600,139900,0.030303030303030276
2009-01-20,30450,30450,29250,29650,81026,-0.03104575163398693
2009-01-21,28000,29000,28000,28450,88873,-0.0404721753794266
2009-01-22,29400,29400,28550,28700,67338,0.008787346221441172
2009-01-23,27650,27900,26500,27100,178768,-0.05574912891986061
2009-01-28,27450,27750,27200,27200,261633,0.0036900369003689537
2009-01-29,27550,28500,27400,27650,293624,0.016544117647058876
2009-01-30,27350,27500,26900,27500,154847,-0.005424954792043413
2009-02-02,27400,28300,27000,27300,168354,-0.0072727272727273196
2009-02-03,27650,27850,27200,27650,199007,0.012820512820512775
2009-02-04,28100,28150,27300,27350,314816,-0.010849909584086825
2009-02-05,27400,27650,26500,26900,222738,-0.01645338208409508
2009-02-06,27300,27350,26500,26700,267047,-0.0074349442379182396
2009-02-09,27000,27400,26850,27000,222535,0.011235955056179803
2009-02-10,27300,27300,26600,26700,203067,-0.011111111111111072
2009-02-11,25950,26300,25500,26150,256495,-0.02059925093632964
2009-02-12,26100,27100,25700,26200,291628,0.0019120458891013214
2009-02-13,26150,26300,25250,25750,335448,-0.01717557251908397
2009-02-16,25600,26850,25600,26000,299643,0.009708737864077666
2009-02-17,26150,26150,24150,24200,449473,-0.0692307692307692
2009-02-18,23500,25000,23000,25000,151470,0.03305785123966931
2009-02-19,24700,25700,23800,25650,199941,0.026000000000000023
2009-02-20,25200,26950,25150,25550,498265,-0.003898635477582846
2009-02-23,26150,26900,25850,26900,389987,0.052837573385518644
2009-02-24,26050,27300,25500,27100,410215,0.0074349442379182396
2009-02-25,27700,27850,26350,26500,389545,-0.022140221402214055
2009-02-26,27050,27250,25250,26100,248271,-0.015094339622641506
2009-02-27,26500,26500,25500,25500,123530,-0.02298850574712641
2009-03-02,25350,25350,24000,24000,127930,-0.05882352941176472
2009-03-03,22750,24000,22550,23850,144482,-0.006249999999999978
2009-03-04,24000,24600,23800,24500,72759,0.027253668763102645
2009-03-05,24900,24950,23900,23900,104081,-0.024489795918367308
2009-03-06,23000,23600,22950,23200,145136,-0.029288702928870314
2009-03-09,23600,24150,23450,23950,126539,0.032327586206896575
2009-03-10,23550,26000,23450,25600,441646,0.06889352818371597
2009-03-11,26400,27250,26200,27250,314639,0.064453125
2009-03-12,27200,27800,26650,27200,309494,-0.0018348623853210455
2009-03-13,27800,28000,27000,27900,232723,0.025735294117646967
2009-03-16,28350,28900,27550,27700,172625,-0.007168458781361964
2009-03-17,27700,27800,26600,27500,332613,-0.0072202166064981865
2009-03-18,27750,28350,27000,27300,266777,-0.0072727272727273196
2009-03-19,27600,28450,27500,27650,281197,0.012820512820512775
2009-03-20,28050,29450,28050,28800,492688,0.041591320072332794
2009-03-23,29100,29150,28250,29100,299985,0.01041666666666674
2009-03-24,29800,30900,29800,30400,353022,0.04467353951890041
2009-03-25,30000,30500,29600,30450,205739,0.00164473684210531
2009-03-26,30750,31000,29950,30700,243000,0.008210180623973828
2009-03-27,30500,30600,28850,29100,378178,-0.05211726384364823
2009-03-30,29400,29900,28100,29000,157050,-0.0034364261168384758
2009-03-31,28900,29400,28550,28650,126883,-0.012068965517241348
2009-04-01,28800,29750,28800,29450,207108,0.027923211169284423
2009-04-02,30000,30900,29750,30850,317654,0.04753820033955858
2009-04-03,31400,32800,30600,32450,529202,0.05186385737439214
2009-04-06,33450,35400,33200,34400,957566,0.06009244992295848
2009-04-07,34400,38200,34400,36800,1115804,0.06976744186046502
2009-04-08,36450,38450,35350,37000,690292,0.005434782608695565
2009-04-09,37600,40850,37600,39800,776198,0.07567567567567557
2009-04-10,41000,41400,38800,39900,331707,0.002512562814070307
2009-04-13,39350,40800,38350,38750,501461,-0.028822055137844638
2009-04-14,39800,39900,37700,39250,174688,0.012903225806451646
2009-04-15,38500,39100,36300,38000,196775,-0.031847133757961776
2009-04-16,38200,38800,36000,37000,279550,-0.02631578947368418
2009-04-17,37400,37600,34100,35500,499157,-0.04054054054054057
2009-04-20,35500,36150,34200,35850,536026,0.009859154929577452
2009-04-21,35000,37450,34400,37450,358861,0.04463040446304034
2009-04-22,38050,38650,36750,37950,376897,0.013351134846461887
2009-04-23,37350,37650,36250,36700,251782,-0.03293807641633728
2009-04-24,36300,36400,34650,35500,408421,-0.032697547683923744
2009-04-27,36100,36700,34550,35000,254252,-0.014084507042253502
2009-04-28,34800,35000,31950,32000,369971,-0.08571428571428574
2009-04-29,32500,34400,31900,34100,287015,0.06562500000000004
2009-04-30,34100,35450,32700,35200,383094,0.032258064516129004
2009-05-04,35300,35350,34550,35200,239598,0.0
2009-05-06,35200,36100,34800,35200,185484,0.0
2009-05-07,36050,36400,35250,36000,260152,0.022727272727272707
2009-05-08,36050,36250,35550,36000,198367,0.0
2009-05-11,36350,36400,35350,35900,167762,-0.002777777777777768
2009-05-12,35500,36400,35100,35900,251487,0.0
2009-05-13,36150,37500,36150,36650,343099,0.02089136490250687
2009-05-14,35800,35800,34500,34500,230889,-0.058663028649386106
2009-05-15,34900,34900,33500,34300,136176,-0.005797101449275366
2009-05-18,34000,34000,33250,33550,120870,-0.02186588921282795
2009-05-19,34100,36200,33900,36200,218299,0.07898658718330842
2009-05-20,36350,37200,35600,36700,329775,0.013812154696132506
2009-05-21,36200,36400,35250,36000,157570,-0.019073569482288777
2009-05-22,35600,36700,35200,35500,201393,-0.01388888888888884
2009-05-25,36400,37250,32100,36300,441531,0.022535211267605604
2009-05-26,36500,36850,33500,34700,303940,-0.0440771349862259
2009-05-27,35200,35350,33600,33600,184221,-0.03170028818443804
2009-05-28,33550,35850,32750,35850,157219,0.06696428571428581
2009-05-29,35500,37250,35200,36950,472634,0.030683403068340276
2009-06-01,37400,38300,37100,38000,513609,0.02841677943166432
2009-06-02,38900,38900,37600,38400,345628,0.010526315789473717
2009-06-03,39000,39100,37250,38800,146339,0.01041666666666674
2009-06-04,38500,39250,37800,38800,241158,0.0
2009-06-05,39300,39450,37300,38250,171669,-0.014175257731958713
2009-06-08,37900,38200,36500,37500,174221,-0.019607843137254943
2009-06-09,37000,37100,35200,35550,180977,-0.052000000000000046
2009-06-10,35650,37200,35650,37200,140950,0.04641350210970474
2009-06-11,37100,40700,36400,38500,1590584,0.034946236559139754
2009-06-12,38500,40650,37500,40550,675030,0.05324675324675332
2009-06-15,41000,42700,40200,41600,517862,0.025893958076448786
2009-06-16,41100,42350,40600,42200,302032,0.014423076923076872
2009-06-17,41400,42450,40800,41950,184961,-0.005924170616113722
2009-06-18,41500,45000,41400,45000,606036,0.07270560190703224
2009-06-19,45300,45750,43500,45000,253094,0.0
2009-06-22,45300,45400,42500,43400,279149,-0.03555555555555556
2009-06-23,42500,44850,42400,43500,269256,0.0023041474654377225
2009-06-24,43900,43950,41200,43400,183327,-0.0022988505747126853
2009-06-25,43500,45500,42450,45050,194382,0.03801843317972353
2009-06-26,45000,47850,44250,46500,335748,0.03218645948945609
2009-06-29,45700,46950,44400,45400,175002,-0.023655913978494647
2009-06-30,45800,45950,43100,45200,220702,-0.004405286343612369
2009-07-01,44500,45200,43050,43050,160485,-0.047566371681415975
2009-07-02,43100,43850,41900,42650,166083,-0.009291521486643473
2009-07-03,41900,43600,41650,43550,167299,0.021101992966002348
2009-07-06,43550,44750,43250,43550,108253,0.0
2009-07-07,43800,46000,43200,45700,335631,0.04936854190585538
2009-07-08,45700,49500,45700,47650,567966,0.04266958424507661
2009-07-09,48000,48250,46250,47600,191133,-0.0010493179433368471
2009-07-10,47300,47300,45200,45600,176719,-0.04201680672268904
2009-07-13,45150,45600,43300,44900,117649,-0.015350877192982448
2009-07-14,45500,45850,44250,44900,95603,0.0
2009-07-15,45600,46850,45300,46400,98880,0.03340757238307357
