Date,Open,High,Low,Close,Volume,Change
2009-01-02,41435,41435,39394,40023,142601,-0.019212390031122073
2009-01-05,41278,41435,39551,39709,125537,-0.007845488843914783
2009-01-06,40022,40650,37982,38296,435885,-0.03558387267370122
2009-01-07,38924,40964,38766,40965,386566,0.06969396281595985
2009-01-08,40179,42690,39865,40807,457189,-0.003856951055779323
2009-01-09,41435,41435,39551,40807,238947,0.0
2009-01-12,40336,40807,39080,39395,158320,-0.034601906535643434
2009-01-13,39237,40493,38924,40337,268118,0.02391166391674071
2009-01-14,40650,41435,40179,41278,206837,0.02332845774351089
2009-01-15,39865,41749,39394,39552,278400,-0.04181404137797373
2009-01-16,40179,41278,40179,40807,172384,0.03173038025889974
2009-01-19,41278,41749,40650,40650,126483,-0.0038473791261303125
2009-01-20,40650,40807,39708,40494,70583,-0.003837638376383734
2009-01-21,39394,40336,39080,39709,182487,-0.019385587988344
2009-01-22,41121,41121,39394,39709,89562,0.0
2009-01-23,39394,39708,38139,38139,158174,-0.039537636304112445
2009-01-28,38924,39708,38453,39709,150592,0.04116521146333141
2009-01-29,40493,43161,39865,43005,502391,0.08300385303079905
2009-01-30,42376,43946,41906,43947,270952,0.02190442971747464
2009-02-02,43946,45358,43789,45359,289936,0.032129610667394726
2009-02-03,45515,45515,43318,43632,315094,-0.03807403161445355
2009-02-04,43946,44260,42376,43319,320229,-0.007173634030069653
2009-02-05,43946,44731,40807,40807,464734,-0.05798841155151324
2009-02-06,41435,41749,38609,39552,1019929,-0.03075452740951312
2009-02-09,40179,40336,38453,39081,559438,-0.011908373786407744
2009-02-10,39708,40336,39080,40337,437315,0.03213837926358076
2009-02-11,39237,41435,38609,41121,351463,0.019436249597144073
2009-02-12,41278,41749,40022,41278,539381,0.0038180005350063606
2009-02-13,41435,41749,40493,41592,225978,0.007606957701439043
2009-02-16,41278,42690,40807,42691,373954,0.02642335064435475
2009-02-17,42847,42847,40493,41121,306042,-0.03677590124382191
2009-02-18,40807,41592,40022,40180,248570,-0.022883684735293452
2009-02-19,40493,42690,39551,41435,230381,0.031234444997511268
2009-02-20,41435,43161,40650,42063,503525,0.015156268854832788
2009-02-23,43004,44888,42690,44417,434686,0.05596367353731302
2009-02-24,43632,45358,42690,42848,375316,-0.035324312763131194
2009-02-25,44417,44417,42376,42848,270053,0.0
2009-02-26,43161,44574,42690,43476,196510,0.014656460044809583
2009-02-27,44260,44417,41749,41749,454200,-0.03972306559941119
2009-03-02,42533,42533,39708,40023,337271,-0.04134230760018209
2009-03-03,38453,42063,38139,41592,237141,0.03920245858631288
2009-03-04,41592,42690,41121,41749,219336,0.0037747643777650275
2009-03-05,42533,44887,41748,43632,444427,0.04510287671560986
2009-03-06,42690,43318,41592,42220,411686,-0.03236156949028235
2009-03-09,42847,44731,42690,44574,399639,0.05575556608242538
2009-03-10,44574,46300,44103,45045,568929,0.010566698075111125
2009-03-11,46300,47713,45515,47713,727382,0.05922965922965928
2009-03-12,47870,48968,45045,46929,1387309,-0.016431580491689912
2009-03-13,46143,46457,44260,44417,638747,-0.0535276694581176
2009-03-16,44103,45045,43318,44103,427219,-0.007069365333093214
2009-03-17,44574,45201,43318,45202,499333,0.024918939754665193
2009-03-18,45986,47399,45201,46615,420132,0.03125967877527547
2009-03-19,47085,48027,46143,46615,299784,0.0
2009-03-20,47399,48811,46614,47242,352080,0.013450606028102552
2009-03-23,47713,49439,47713,49283,232545,0.04320308200330225
2009-03-24,50224,51480,48497,51323,273639,0.04139358399448079
2009-03-25,50538,51950,49910,50381,275284,-0.01835434405627112
2009-03-26,50224,52735,49910,52579,247681,0.04362755800797924
2009-03-27,52735,53677,51794,53050,219854,0.008957948991042075
2009-03-30,53049,53206,49282,49440,216264,-0.06804901036757771
2009-03-31,49282,50067,47399,47399,472149,-0.04128236245954697
2009-04-01,47713,48655,47399,48027,434780,0.013249224667187143
2009-04-02,49125,49596,48340,49597,478712,0.032689945239136264
2009-04-03,49753,50695,48027,49126,418841,-0.0094965421295643
2009-04-06,49282,50695,48811,49126,407812,0.0
2009-04-07,49439,50695,49282,50538,397676,0.028742417457150893
2009-04-08,50381,51166,49910,50381,349393,-0.003106573271597579
2009-04-09,50852,52578,50224,52108,450233,0.034278795577697974
2009-04-10,52735,53206,52107,52579,244525,0.009038919167882131
2009-04-13,52892,55717,52264,53834,347175,0.023868844976131065
2009-04-14,54619,55403,53520,54776,295600,0.01749823531597139
2009-04-15,53520,53677,51009,51794,342456,-0.05443990068643201
2009-04-16,52264,52892,50381,51166,397372,-0.012124956558674738
2009-04-17,50538,51323,48184,48341,443862,-0.055212445764765694
2009-04-20,49439,52107,48497,51951,317664,0.0746778097267331
2009-04-21,51480,51480,48968,49911,447194,-0.039267771553964326
2009-04-22,49910,50538,48811,50068,287056,0.003145599166516355
2009-04-23,50852,50852,48811,48969,248595,-0.021950147798993402
2009-04-24,49596,51009,49125,50225,348895,0.02564887990361253
2009-04-27,49125,49596,47870,48027,380451,-0.043763066202090584
2009-04-28,49125,49125,47242,47870,287677,-0.0032689945239136042
2009-04-29,47870,49282,47399,49283,198527,0.02951744307499471
2009-04-30,48968,49282,48027,48812,530450,-0.009557048069314011
2009-05-04,48811,50224,48497,50225,468354,0.028947799721380063
2009-05-06,49439,50538,49282,49754,455381,-0.009377799900447958
2009-05-07,50067,51166,49125,49283,399474,-0.009466575551714485
2009-05-08,50067,50695,49125,50068,371844,0.01592841344885665
2009-05-11,51009,53049,50695,52893,679814,0.05642326436046985
2009-05-12,52735,55874,52421,54462,754183,0.02966366059781067
2009-05-13,55089,58071,55089,58072,614288,0.06628474899930237
