Date,Open,High,Low,Close,Volume,Change
2009-01-02,32890,33575,31131,33135,2222075,-0.01676557863501482
2009-01-05,35187,38071,34308,37925,4263028,0.14456013279010116
2009-01-06,38120,39390,38071,39098,3407112,0.03092946605141722
2009-01-07,39048,40075,38315,39195,3646287,0.0024809453168959106
2009-01-08,38609,38706,36751,37338,3267917,-0.04737849215461154
2009-01-09,37680,38609,36165,36165,2957691,-0.03141571589265624
2009-01-12,35823,35823,34699,34797,1777159,-0.037826627955205305
2009-01-13,34454,36507,33721,36019,2209265,0.03511796993993732
2009-01-14,36556,37875,35578,37876,2141141,0.05155612315722258
2009-01-15,35676,35969,34406,34406,3414864,-0.09161474284507343
2009-01-16,34063,34699,32451,34553,3637116,0.004272510608614777
2009-01-19,34699,35578,34650,34797,1725577,0.007061615489248441
2009-01-20,33428,33770,32793,32940,2527499,-0.05336666954047764
2009-01-21,31278,32206,30545,31376,2786284,-0.04748026715239828
2009-01-22,33721,33721,32304,32695,2646045,0.042038500764915776
2009-01-23,31522,32060,30887,31180,1730122,-0.04633736045266856
2009-01-28,32255,34748,32255,34602,2739936,0.10974983964079543
2009-01-29,36263,36556,35481,35970,2766127,0.03953528697763131
2009-01-30,34699,36556,34503,36165,1619480,0.005421184320266947
2009-02-02,35383,36067,34015,34357,1701046,-0.04999308723904328
2009-02-03,34357,36165,34063,35188,2222954,0.024187210757633082
2009-02-04,35774,36067,34454,34992,2026915,-0.0055700807093327365
2009-02-05,34406,34748,33233,33233,2865103,-0.050268632830361204
2009-02-06,34357,34748,33526,34748,2012859,0.04558721752474959
2009-02-09,35969,36458,34601,34944,3424084,0.005640612409347323
2009-02-10,35187,35432,34601,35090,1938138,0.004178113553113594
2009-02-11,32939,34063,32842,33771,2735201,-0.03758905671131374
2009-02-12,32988,33135,31766,31962,5300466,-0.05356666962778711
2009-02-13,31815,32646,31766,32647,2226890,0.021431700143920818
2009-02-16,31864,32548,31327,31425,3120081,-0.03743069807332988
2009-02-17,30838,31082,29323,29910,3279803,-0.04821002386634843
2009-02-18,28736,28834,27857,27857,4673862,-0.06863925108659308
2009-02-19,27857,28785,27417,27662,4063825,-0.007000035897619994
2009-02-20,27368,27710,25951,26733,2886763,-0.03358397802038893
2009-02-23,26195,27808,25609,27808,2700008,0.04021247147720053
2009-02-24,26195,26879,25902,26538,2374999,-0.04567031070195626
2009-02-25,28199,28345,26342,27026,3780913,0.01838872560102489
2009-02-26,27612,28345,26195,27173,2558254,0.0054392066898543145
2009-02-27,27759,29274,26928,28737,3921999,0.05755713391969963
2009-03-02,27954,28492,27172,27466,3433278,-0.0442286947141316
2009-03-03,26684,27808,26146,27417,2653253,-0.0017840238840748368
2009-03-04,27075,28736,26293,28248,2980429,0.030309661888609174
2009-03-05,28541,28639,27368,27368,2775433,-0.031152647975077885
2009-03-06,26488,26879,26244,26293,2323941,-0.0392794504530839
2009-03-09,26781,26928,25706,26244,2358537,-0.0018636138896284127
