Date,Open,High,Low,Close,Volume,Change
2009-01-02,73979,75738,72513,75739,1127276,0.03610123119015052
2009-01-05,76715,77497,75738,76618,1643605,0.011605645704326761
2009-01-06,76618,79745,76422,79550,2604205,0.038267769975723676
2009-01-07,80331,82188,79843,82189,2041471,0.03317410433689494
2009-01-08,80722,81309,79647,80625,1256930,-0.01902931049167167
2009-01-09,81113,81602,77790,78182,1088301,-0.03030077519379848
2009-01-12,76715,77888,75445,75543,897369,-0.033754572663784455
2009-01-13,74761,75640,73197,75641,1257868,0.0012972744000105951
2009-01-14,75445,77693,74468,77595,840572,0.025832551129678416
2009-01-15,74468,75347,71829,72025,1234874,-0.0717829757071976
2009-01-16,72806,75445,72318,75055,1123470,0.04206872613675805
2009-01-19,75640,79159,75640,79061,1487105,0.05337419225901008
2009-01-20,77009,77497,75445,75934,786600,-0.039551738531007685
2009-01-21,72415,74370,72415,73589,841677,-0.030882081807885764
2009-01-22,75250,75445,69875,70852,1709223,-0.03719305874519285
2009-01-23,68409,69386,66454,66748,3176430,-0.05792355896798962
2009-01-28,67920,70363,67920,70266,1873685,0.05270569904716238
2009-01-29,71145,71829,70168,70755,1315701,0.006959269063273821
2009-01-30,68995,70754,68897,70364,923023,-0.005526111228888464
2009-02-02,68800,70265,68702,69484,1325721,-0.012506395315786456
2009-02-03,69386,71634,68702,71536,1377139,0.029531978584997898
2009-02-04,73393,76422,72806,76227,3244998,0.06557537463654661
2009-02-05,75347,76422,73979,73980,1595527,-0.029477744106419013
2009-02-06,75738,76422,74663,76227,1280365,0.030373073803730666
2009-02-09,77399,77693,74077,74370,1153712,-0.024361446731473113
2009-02-10,74663,75543,71829,72514,1296695,-0.024956299583165253
2009-02-11,70852,72904,70363,72514,839090,0.0
2009-02-12,71927,74175,71829,73198,1252525,0.009432661279201282
2009-02-13,73197,76715,72025,76716,1840353,0.04806142244323608
2009-02-16,75836,76715,74370,74370,996819,-0.03058032222743623
2009-02-17,73686,74077,71340,71927,1034799,-0.032849267177625374
2009-02-18,71047,73100,70461,72220,984274,0.004073574596465956
2009-02-19,72415,74468,70559,73686,1043582,0.02029908612572684
2009-02-20,72611,72904,69875,69875,1271489,-0.05171945824172841
2009-02-23,69386,72904,69190,72416,894518,0.03636493738819313
2009-02-24,70168,71438,69875,69973,896873,-0.03373563853292094
2009-02-25,72025,73393,70950,72220,1222112,0.03211238620610812
2009-02-26,72806,73881,69875,71048,1361015,-0.01622819163666578
