Date,Open,High,Low,Close,Volume,Change
2009-01-02,3500,3620,3460,3620,382906,0.046242774566473965
2009-01-05,3655,3685,3585,3625,681604,0.0013812154696133394
2009-01-06,3625,3715,3575,3715,922392,0.024827586206896513
2009-01-07,3745,3870,3740,3870,1310029,0.04172274562584111
2009-01-08,3770,3965,3770,3960,1134418,0.023255813953488413
2009-01-09,4000,4000,3825,3855,848280,-0.02651515151515149
2009-01-12,3840,3880,3715,3740,538764,-0.02983138780804151
2009-01-13,3745,4030,3670,3995,1603673,0.06818181818181812
2009-01-14,3990,4245,3935,4210,1726146,0.053817271589486904
2009-01-15,4060,4295,4025,4110,2487585,-0.02375296912114011
2009-01-16,4295,4330,4170,4290,2023848,0.04379562043795615
2009-01-19,4340,4380,4160,4190,1092283,-0.023310023310023298
2009-01-20,4140,4320,4070,4320,1105549,0.031026252983293645
2009-01-21,4110,4300,4100,4190,668155,-0.03009259259259256
2009-01-22,4250,4260,4130,4140,713804,-0.011933174224343701
2009-01-23,4110,4125,3880,3900,1081145,-0.05797101449275366
2009-01-28,3960,4045,3960,4000,846609,0.02564102564102555
2009-01-29,4100,4100,3925,3945,957103,-0.01375000000000004
2009-01-30,3905,4100,3905,4100,714652,0.03929024081115329
2009-02-02,4050,4110,3885,4005,1278929,-0.023170731707317094
2009-02-03,4005,4080,3960,4080,595705,0.01872659176029967
2009-02-04,4300,4430,4070,4110,3785764,0.007352941176470562
2009-02-05,4110,4180,3885,3895,1723716,-0.05231143552311435
2009-02-06,3985,3985,3870,3900,1487007,0.0012836970474967568
2009-02-09,3940,3985,3885,3885,1143579,-0.0038461538461538325
2009-02-10,3860,3930,3860,3885,635854,0.0
2009-02-11,3830,3855,3780,3850,1073605,-0.009009009009009028
2009-02-12,3860,4000,3845,3900,1170250,0.01298701298701288
2009-02-13,3940,3940,3880,3890,763156,-0.002564102564102555
2009-02-16,3810,3895,3810,3830,765291,-0.015424164524421635
2009-02-17,3830,3830,3560,3560,1018756,-0.07049608355091386
2009-02-18,3495,3570,3390,3570,636354,0.002808988764045006
