Date,Open,High,Low,Close,Volume,Change
2009-01-02,19163,21498,18920,21498,1443023,0.14802947773149633
2009-01-05,22373,22763,21790,21888,1394385,0.018141222439296723
2009-01-06,22130,23249,21984,23201,1548506,0.05998720760233911
2009-01-07,23346,25243,22957,23833,1721664,0.027240205163570508
2009-01-08,23346,25827,23152,24417,2297277,0.024503839214534473
2009-01-09,24465,25097,22957,23347,1219184,-0.04382192734570178
2009-01-12,23346,24659,22860,23298,1501702,-0.0020987707200068595
2009-01-13,23638,24611,23443,24563,1447440,0.05429650613786596
2009-01-14,24270,25438,23979,25292,1222307,0.02967878516467848
2009-01-15,24416,25194,22422,23006,1787485,-0.0903843112446624
2009-01-16,24027,26410,23638,26070,2802139,0.13318264800486834
2009-01-19,27043,27432,25535,26168,2092826,0.003759110088223938
2009-01-20,26167,27626,25584,26411,1916782,0.009286151024151534
2009-01-21,26265,27772,24854,25049,3281439,-0.051569421831812456
2009-01-22,27140,28696,26119,27773,2977453,0.1087468561619227
2009-01-23,27918,28551,26605,27141,1524201,-0.022755914017211
2009-01-28,28016,28161,27091,27530,1005704,0.014332559596182959
2009-01-29,27529,28356,26410,27238,1156553,-0.010606610969851049
2009-01-30,26654,28161,26313,28162,968799,0.03392319553564871
2009-02-02,27626,28064,26897,26897,715222,-0.04491868475250338
2009-02-03,26945,27432,26167,26703,890415,-0.007212700301148844
2009-02-04,27335,27967,26945,27335,870287,0.023667752686963972
2009-02-05,27043,27821,26897,27043,625577,-0.010682275471007863
2009-02-06,27626,29329,27432,28989,1862130,0.07195947195207641
2009-02-09,29426,30399,28891,29135,2819810,0.005036393114629778
2009-02-10,29961,30058,29037,29572,815637,0.0149991419255191
2009-02-11,28502,29329,28307,29232,781898,-0.01149736236980925
2009-02-12,29232,29475,28259,28259,713353,-0.03328544061302685
2009-02-13,28794,28794,28113,28600,681498,0.012066952121448038
2009-02-16,28113,28696,27918,27919,648647,-0.02381118881118882
2009-02-17,27724,28356,26410,26411,759648,-0.054013395895268435
2009-02-18,26070,26994,25146,26460,752440,0.0018552875695732052
2009-02-19,26556,26945,25486,26265,601380,-0.007369614512471645
2009-02-20,25778,26216,23541,24709,972505,-0.05924233771178378
2009-02-23,24319,25778,23930,25730,742778,0.04132097616253194
2009-02-24,24514,24757,23638,24319,693631,-0.05483870967741933
2009-02-25,25097,25194,23395,23395,636125,-0.03799498334635465
2009-02-26,23638,24611,22665,23249,657245,-0.006240649711476864
2009-02-27,23346,24027,22763,23493,381923,0.010495075056991654
2009-03-02,22860,22860,21498,21790,666046,-0.07248967777635895
2009-03-03,20720,21206,20087,20963,1243034,-0.03795318953648463
2009-03-04,20914,22860,20574,22520,728082,0.07427372036445168
2009-03-05,22957,23687,21887,21888,757231,-0.028063943161634075
2009-03-06,21206,22811,20866,22374,571596,0.022203947368421018
2009-03-09,23152,23152,22179,22763,498605,0.01738625189952625
2009-03-10,22422,24027,22228,23687,673368,0.04059218907876816
2009-03-11,24416,24903,24222,24417,723898,0.03081859247688601
2009-03-12,24514,24757,23784,24125,640955,-0.011958881107425157
2009-03-13,24805,26654,24659,26070,1375280,0.08062176165803114
2009-03-16,26265,26702,25632,25730,607020,-0.013041810510164953
2009-03-17,26167,27529,25973,27432,767686,0.06614846482705006
2009-03-18,27918,28064,26994,27530,516168,0.0035724701079031806
2009-03-19,28064,28356,26800,27238,538824,-0.010606610969851049
2009-03-20,27335,28064,26800,27189,375572,-0.0017989573390116975
2009-03-23,27529,29134,27432,28794,805915,0.059031225863400705
2009-03-24,29377,29572,28210,28940,744935,0.005070500798777466
2009-03-25,28794,30496,28502,30351,1091263,0.04875604699378022
2009-03-26,30350,31274,30204,30497,899216,0.004810385160291197
2009-03-27,30934,31031,28988,29378,804349,-0.036692133652490355
2009-03-30,29329,30788,28696,28697,1205701,-0.023180611341820367
2009-03-31,29426,30156,28696,28697,778971,0.0
2009-04-01,29280,30350,28794,30253,1008092,0.05422169564762869
2009-04-02,31031,32101,30593,31518,1025184,0.04181403497173841
2009-04-03,31907,32198,31031,31956,718374,0.013896820864268022
2009-04-06,32004,33269,31907,32150,731756,0.0060708474151958125
2009-04-07,31858,32734,31226,32539,645801,0.012099533437013976
2009-04-08,32150,34436,31712,34096,1557301,0.04785027198131475
2009-04-09,34533,38181,33804,36771,1760328,0.07845495072735797
2009-04-10,37938,39203,36868,37160,1859063,0.010578988877104178
2009-04-13,37938,37938,36090,36479,902704,-0.018326157158234713
2009-04-14,36576,37014,35263,35896,914238,-0.015981797746648763
2009-04-15,35020,35798,34241,35506,774648,-0.010864720303097819
2009-04-16,36576,38278,36187,36382,1230188,0.02467188644172813
2009-04-17,37452,37743,34630,35555,997992,-0.022731020834478644
2009-04-20,35895,35895,34339,35020,607028,-0.015047110111095496
