Date,Open,High,Low,Close,Volume,Change
2009-01-02,40850,42000,40100,41700,1487353,0.055696202531645644
2009-01-05,43350,45100,43050,45000,3084142,0.07913669064748197
2009-01-06,44800,47150,44000,46000,2926386,0.022222222222222143
2009-01-07,46500,49900,45700,49900,3655251,0.08478260869565224
2009-01-08,49000,49400,47100,47900,3167829,-0.04008016032064132
2009-01-09,48600,49150,46250,46700,2066262,-0.025052192066805867
2009-01-12,45600,46700,44750,45150,1358404,-0.03319057815845827
2009-01-13,45050,46300,43850,46000,1138088,0.01882613510520481
2009-01-14,45500,48200,45100,48000,1630175,0.04347826086956519
2009-01-15,45400,46050,42500,43000,2490598,-0.10416666666666663
2009-01-16,42600,43700,42050,43050,2691698,0.0011627906976743319
2009-01-19,43400,44450,43250,44050,1052403,0.023228803716608626
2009-01-20,42600,43500,42400,42950,1193821,-0.024971623155505163
2009-01-21,41000,43500,40750,43500,1335457,0.012805587892898762
2009-01-22,44300,44400,42250,42250,1822404,-0.028735632183908066
2009-01-23,42250,43950,41700,42000,1435871,-0.00591715976331364
2009-01-28,43650,47100,43650,47000,2073753,0.11904761904761907
2009-01-29,47600,49200,47400,48500,2752902,0.03191489361702127
2009-01-30,47400,48550,46700,47500,1598399,-0.020618556701030966
2009-02-02,46800,48450,46150,46400,1877675,-0.023157894736842155
2009-02-03,46500,48750,45850,48050,1396010,0.0355603448275863
2009-02-04,50400,52900,49850,51900,3679561,0.08012486992715928
2009-02-05,51500,54000,50400,51600,2575470,-0.005780346820809301
2009-02-06,52500,53700,52100,53300,1756154,0.032945736434108586
2009-02-09,53500,53700,51700,51700,1499410,-0.030018761726078758
2009-02-10,52600,52800,50000,51600,1352364,-0.0019342359767892114
2009-02-11,50100,52800,49750,51600,1221159,0.0
2009-02-12,51600,52100,49850,51000,1728926,-0.011627906976744207
2009-02-13,50700,52500,50400,52200,969129,0.0235294117647058
2009-02-16,51600,52400,50400,50400,1188052,-0.03448275862068961
2009-02-17,50000,50800,48950,48950,1212503,-0.02876984126984128
2009-02-18,48150,49450,47650,48200,1213051,-0.01532175689479065
2009-02-19,48200,48650,47250,47700,1540448,-0.010373443983402453
2009-02-20,46950,47800,45950,46700,1215385,-0.02096436058700213
2009-02-23,47500,49400,46950,49400,1246893,0.05781584582441113
2009-02-24,47500,48050,47100,47550,1511735,-0.037449392712550655
2009-02-25,50000,50700,48600,49100,1720704,0.03259726603575186
2009-02-26,50200,52000,47000,49200,2228794,0.0020366598778003286
2009-02-27,49200,50100,48050,48700,1190177,-0.010162601626016232
2009-03-02,48500,48550,46300,47000,1005012,-0.03490759753593431
2009-03-03,46150,49450,46050,49050,1542259,0.043617021276595835
2009-03-04,49150,50700,48550,50500,1795268,0.029561671763506547
2009-03-05,50900,50900,49000,49800,1685249,-0.013861386138613874
2009-03-06,49000,50200,48600,50200,1039538,0.008032128514056325
2009-03-09,51000,51700,50300,51000,1847545,0.015936254980079667
2009-03-10,50300,51000,49300,49700,2110110,-0.025490196078431393
2009-03-11,51200,51400,49750,50000,1779227,0.006036217303822866
2009-03-12,50500,51900,49900,50000,2563856,0.0
2009-03-13,51000,52200,50600,51300,2671637,0.026000000000000023
2009-03-16,51600,53800,51500,53000,2087555,0.033138401559454245
2009-03-17,53500,54500,52200,54400,1932089,0.026415094339622636
2009-03-18,54700,55000,53300,54100,1441742,-0.005514705882352922
2009-03-19,54000,54000,50800,51600,3868545,-0.04621072088724587
