Date,Open,High,Low,Close,Volume,Change
2015-11-06,49500,51500,46100,48100,2404916,
2015-11-09,48700,49150,44450,45000,351566,-0.0644490644490644
2015-11-10,44000,46800,42750,42750,261417,-0.050000000000000044
2015-11-11,43300,45750,43000,44700,276432,0.04561403508771922
2015-11-12,45600,46400,44650,45700,158760,0.02237136465324374
2015-11-13,44900,45450,43600,44050,78358,-0.03610503282275712
2015-11-16,42300,43400,40900,42100,162720,-0.04426787741203175
2015-11-17,42700,42700,39050,42000,193625,-0.002375296912114022
2015-11-18,42000,42450,41050,41050,51385,-0.02261904761904765
2015-11-19,41050,41700,39750,40300,134253,-0.018270401948842885
2015-11-20,40300,40400,39700,39850,57577,-0.011166253101737023
2015-11-23,39750,39750,37250,37850,261757,-0.050188205771643624
2015-11-24,37850,39050,37000,38800,172750,0.025099075297225992
2015-11-25,38250,38850,37650,38500,95445,-0.0077319587628865705
2015-11-26,38650,39450,38000,39300,87142,0.020779220779220786
2015-11-27,39700,41000,39350,40750,121138,0.03689567430025442
2015-11-30,40200,41200,40000,40950,78215,0.004907975460122671
2015-12-01,40950,40950,39950,40150,67909,-0.019536019536019578
2015-12-02,40050,40150,38450,40150,141335,0.0
2015-12-03,39950,39950,39150,39200,26855,-0.023661270236612686
2015-12-04,39000,39350,38300,38900,16220,-0.007653061224489832
2015-12-07,37000,38050,36550,37250,333592,-0.042416452442159414
2015-12-08,37850,38300,37550,37850,102783,0.016107382550335503
2015-12-09,37300,38400,37250,38050,37434,0.005284015852047519
2015-12-10,37800,38350,37550,38000,42732,-0.0013140604467805073
2015-12-11,37600,40000,37600,39850,215527,0.048684210526315885
2015-12-14,39000,41650,39000,40550,177237,0.017565872020075313
2015-12-15,40550,41000,38850,39250,57834,-0.03205918618988901
2015-12-16,39950,39950,37800,39250,74056,0.0
2015-12-17,40500,41000,39600,40850,132353,0.040764331210191074
2015-12-18,41000,41900,40850,41900,147271,0.025703794369644983
2015-12-21,41350,42800,41350,42800,64958,0.021479713603818507
2015-12-22,43000,43000,41400,41500,60047,-0.030373831775700966
2015-12-23,42100,42100,40100,40500,69234,-0.02409638554216864
2015-12-24,40000,40450,39200,39650,96464,-0.020987654320987703
2015-12-28,40150,40500,38000,40000,84600,0.008827238335435084
2015-12-29,39800,39800,38700,39000,40343,-0.025000000000000022
2015-12-30,39250,40200,38500,40100,45069,0.028205128205128105
2016-01-04,39250,40900,38650,40900,54353,0.01995012468827939
2016-01-05,40150,40950,40050,40250,19571,-0.0158924205378973
2016-01-06,40250,40250,39150,39250,41047,-0.024844720496894457
