Date,Open,High,Low,Close,Volume,Change
2009-01-02,98477,98783,94395,96539,115755,-0.019679722168628233
2009-01-05,96946,97456,93375,93375,138082,-0.032774319187064305
2009-01-06,93272,95109,90313,93273,204999,-0.0010923694779116921
2009-01-07,95211,106641,95007,104600,346470,0.12143921606467045
2009-01-08,104600,109192,101538,104600,172713,0.0
2009-01-09,106131,113784,103069,107152,242269,0.024397705544933146
2009-01-12,108172,110213,101232,101641,172282,-0.05143161116918027
2009-01-13,102559,103069,98987,99804,126981,-0.018073415255654757
2009-01-14,101538,107661,99702,104600,170063,0.04805418620496171
2009-01-15,99497,102559,98171,101029,135777,-0.034139579349904414
2009-01-16,101538,108172,101130,107152,101398,0.060606360549941174
2009-01-19,107151,109702,102559,104090,140494,-0.02857622816186356
2009-01-20,102559,107151,101028,105621,148400,0.014708425401095182
2009-01-21,101028,107661,101028,102559,79847,-0.02899044697550679
2009-01-22,105110,107151,103069,104600,84210,0.01990074006181808
2009-01-23,105110,109192,101845,104600,154306,0.0
2009-01-28,106131,108682,105110,107152,81418,0.024397705544933146
2009-01-29,107151,112254,107151,110723,113563,0.0333264894728984
2009-01-30,108172,111233,106131,108172,80099,-0.023039476892786515
2009-02-02,106131,108682,104600,105111,55812,-0.02829752616203829
2009-02-03,106131,107151,102559,106641,79807,0.01455604075691408
2009-02-04,107661,110723,106641,109703,91193,0.02871315910390937
2009-02-05,109192,114805,107661,108682,113797,-0.009306946938552274
2009-02-06,111743,113274,107661,113275,98165,0.04226090797004112
2009-02-09,115825,115825,107151,113785,109382,0.004502317369234232
2009-02-10,115825,116846,111233,115316,83275,0.013455200597618289
2009-02-11,111743,118887,110723,114805,85055,-0.004431301814145527
2009-02-12,115315,120928,114805,119398,88449,0.040006968337615856
2009-02-13,118377,119907,116336,116336,54264,-0.025645320692138873
2009-02-16,115315,121948,114805,119908,62007,0.03070416723971947
2009-02-17,119907,119907,113274,113785,60736,-0.05106414918103874
2009-02-18,112254,117356,111233,115826,58014,0.017937337961945854
2009-02-19,115315,116336,108172,114805,92528,-0.008814946557767711
2009-02-20,111743,115315,108682,110213,53699,-0.03999825791559597
2009-02-23,107661,110213,103069,109703,198460,-0.004627403300881072
2009-02-24,106131,108172,103579,104600,71645,-0.046516503650766206
2009-02-25,108172,108172,102559,105111,77401,0.004885277246653885
2009-02-26,106131,107661,95926,98477,128330,-0.06311423162180929
2009-02-27,97967,103579,96130,100927,69775,0.024878905734333934
2009-03-02,100722,100722,89803,93273,125615,-0.0758369910925718
2009-03-03,89803,90109,86741,87354,135289,-0.06345887877520828
2009-03-04,87762,92558,82251,90824,377936,0.039723424227854576
2009-03-05,92150,92558,87252,87864,130174,-0.03259050471241076
2009-03-06,85313,92864,83578,91640,98198,0.04297550760265856
2009-03-09,92864,93272,88782,89293,109628,-0.025611086861632493
2009-03-10,87966,93885,87966,93783,98518,0.05028389683401824
2009-03-11,95109,97661,94089,94395,105082,0.006525702952560719
2009-03-12,94905,97354,90109,91844,162374,-0.027024736479686395
2009-03-13,91946,95313,91334,93069,694901,0.013337833718043646
2009-03-16,94905,96742,91129,91130,168738,-0.020834004878101164
2009-03-17,91742,92966,88782,92661,234736,0.016800175573356668
2009-03-18,93681,93783,90823,90824,184666,-0.019824953324483863
2009-03-19,91946,92150,87047,88170,223400,-0.02922135118470892
2009-03-20,88680,90007,88272,89293,129064,0.012736758534648951
2009-03-23,90007,93068,89803,93069,239351,0.04228774931965562
2009-03-24,96538,106641,95926,106641,879920,0.14582728943042267
2009-03-25,105620,112254,104090,109703,424175,0.02871315910390937
2009-03-26,110213,110723,107151,108682,185180,-0.009306946938552274
2009-03-27,109702,111233,104090,108682,227096,0.0
2009-03-30,107661,109192,101028,101029,228866,-0.07041644430540472
2009-03-31,103579,105110,101538,102049,145339,0.010096111017628528
2009-04-01,103069,109192,100212,107152,221355,0.050005389567756575
2009-04-02,109702,116336,108682,113785,215136,0.06190271763476174
2009-04-03,117356,129602,115825,122459,492948,0.07623148921211054
2009-04-06,122969,127051,119397,120928,190415,-0.012502143574584124
2009-04-07,119397,120928,116336,117867,287421,-0.025312582693834296
2009-04-08,116336,120418,115315,115316,256440,-0.021643038339823728
2009-04-09,117866,127051,116846,125010,215997,0.08406465711609834
2009-04-10,126030,134194,125010,129602,274303,0.03673306135509158
2009-04-13,131643,136235,127561,132664,184111,0.02362617860835492
2009-04-14,136745,137256,131133,132154,123176,-0.003844298377856825
2009-04-15,129602,133684,126030,128582,123744,-0.027029072143105792
2009-04-16,131643,138786,129602,132154,195855,0.02777993809397894
2009-04-17,133174,135725,123479,123990,169624,-0.06177641236738951
2009-04-20,124500,126030,119397,123990,87876,0.0
2009-04-21,119907,126540,119907,123990,142434,0.0
2009-04-22,125010,131133,122969,125520,169220,0.012339704814904318
2009-04-23,126540,127561,120928,122459,202896,-0.02438655194391337
2009-04-24,124500,130622,122969,127051,272623,0.03749826472533657
2009-04-27,128071,131643,124500,124500,177480,-0.020078551133009603
